id,gender,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,is_recid,is_violent_recid,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,event,label
678,0,50,1,0,2,0,0,3,0,0,0,2,-1,1,-1,3,0,0
679,1,30,1,0,1,0,0,1,0,0,0,1,-1,2,-1,1,0,0
680,1,38,1,0,3,0,0,5,-1,0,0,3,-1,2,-1,5,0,0
684,1,45,1,0,2,0,0,16,-83,0,0,2,-1,1,-1,16,0,0
689,0,51,1,0,8,0,0,16,-122,0,0,8,1,1,-1,16,0,0
701,1,28,1,0,10,0,0,5,-1,0,0,10,1,10,1,5,0,0
704,1,42,1,0,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0
707,1,23,1,1,6,2,2,6,-1,1,1,6,0,6,0,6,0,0
712,1,54,1,0,1,0,0,2,-26,0,0,1,-1,1,-1,2,0,0
716,1,35,1,0,2,0,0,1,-1,0,0,2,-1,2,-1,1,0,0
739,1,26,1,0,9,0,0,2,0,0,0,9,1,6,0,2,0,0
743,1,26,1,0,2,0,0,1,-1,0,0,2,-1,3,-1,1,0,0
753,1,54,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
757,1,38,1,0,5,0,0,0,0,0,0,5,0,1,-1,0,0,0
774,1,26,1,0,7,0,0,1,0,0,0,7,0,4,-1,1,0,0
779,0,35,1,0,2,0,0,12,-54,0,0,2,-1,1,-1,12,0,0
785,0,26,1,0,2,0,0,0,-1,0,0,2,-1,2,-1,0,0,0
789,1,33,1,0,3,0,0,2,0,0,0,3,-1,3,-1,2,0,0
790,0,34,1,0,4,0,0,6,-1,0,0,4,-1,2,-1,6,0,0
803,1,52,1,0,5,0,0,4,0,0,0,5,0,3,-1,4,0,0
812,1,31,1,0,2,0,0,0,-1,0,0,2,-1,1,-1,0,0,0
821,1,35,1,0,7,0,0,0,-1,0,0,7,0,2,-1,0,0,0
838,1,44,1,0,3,0,0,1,0,0,0,3,-1,1,-1,1,0,0
840,1,27,1,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0
843,1,42,1,0,5,0,0,8,-1,0,0,5,0,2,-1,8,0,0
844,1,58,1,0,6,0,0,6,-1,0,0,6,0,3,-1,6,0,0
847,1,26,1,0,6,0,1,3,-1,1,0,6,0,4,-1,3,1,0
853,1,50,1,0,3,0,0,3,-1,0,0,3,-1,2,-1,3,0,0
855,1,38,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
858,0,30,1,0,3,0,0,0,0,0,0,3,-1,3,-1,0,0,0
859,1,23,1,0,5,0,0,1,0,0,0,5,0,7,0,1,0,0
872,1,38,1,0,7,0,0,15,0,1,0,7,0,5,0,15,1,0
875,0,25,1,0,3,0,0,0,-1,0,0,3,-1,3,-1,0,0,0
898,1,28,1,0,8,0,0,4,747,1,0,8,1,7,0,4,1,0
899,1,25,1,0,3,0,0,0,-1,1,1,3,-1,4,-1,0,1,0
901,1,27,1,0,2,0,0,0,-1,0,0,2,-1,3,-1,0,0,0
909,1,20,1,1,3,0,0,1,-1,0,0,3,-1,6,0,1,0,0
916,1,40,1,0,2,0,0,0,-1,0,0,2,-1,1,-1,0,0,0
918,0,38,1,0,1,0,0,1,-1,0,0,1,-1,1,-1,1,0,0
921,1,30,1,0,7,0,0,1,0,0,0,7,0,4,-1,1,0,0
923,1,43,1,0,1,0,0,1,0,0,0,1,-1,1,-1,1,0,0
944,1,28,1,0,3,0,0,10,0,0,0,3,-1,2,-1,10,0,0
945,1,26,1,0,8,0,0,6,0,0,0,8,1,8,1,6,0,0
948,0,22,1,0,5,0,0,0,-1,0,0,5,0,6,0,0,0,0
951,1,31,1,0,1,0,0,1,-27,0,0,1,-1,1,-1,1,0,0
953,1,29,1,0,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0
965,1,38,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
975,1,21,1,0,3,0,1,0,-1,0,0,3,-1,5,0,0,0,0
977,0,22,1,0,8,0,0,0,-1,0,0,8,1,6,0,0,0,0
978,1,30,1,0,2,0,0,0,-1,0,0,2,-1,2,-1,0,0,0
988,0,31,1,0,6,0,0,10,-1,0,0,6,0,2,-1,10,0,0
991,1,23,1,0,7,0,0,4,320,0,0,7,0,9,1,4,0,0
1001,1,47,1,0,9,0,0,20,-1,0,0,9,1,5,0,20,0,0
1002,1,22,1,0,7,1,0,3,-1,0,0,7,0,7,0,3,0,0
1006,1,35,1,0,4,0,0,0,-1,0,0,4,-1,3,-1,0,0,0
1007,0,33,1,0,3,0,0,0,-1,0,0,3,-1,2,-1,0,0,0
1014,1,21,1,0,5,0,0,0,-1,0,0,5,0,7,0,0,0,0
1015,1,37,1,0,4,0,0,11,-1,0,0,4,-1,2,-1,11,0,0
1018,1,31,1,0,7,0,0,2,0,0,0,7,0,6,0,2,0,0
1022,0,31,1,0,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0
1024,1,27,1,0,2,0,0,0,-1,0,0,2,-1,2,-1,0,0,0
1027,1,22,1,0,9,0,1,3,0,0,0,9,1,8,1,3,0,0
1036,1,27,1,0,4,0,0,3,-1,0,0,4,-1,3,-1,3,0,0
1041,0,32,1,0,2,0,0,2,-43,0,0,2,-1,1,-1,2,0,0
1043,1,31,1,0,7,0,0,5,-1,0,0,7,0,4,-1,5,0,0
1044,1,36,1,0,5,1,0,4,-1,0,0,5,0,2,-1,4,0,0
1046,1,36,1,0,5,0,0,1,0,0,0,5,0,5,0,1,0,0
1054,1,21,1,1,10,0,0,2,-306,0,0,10,1,9,1,2,0,0
1058,1,28,1,0,4,0,0,2,-1,0,0,4,-1,2,-1,2,0,0
1059,1,24,1,0,6,0,0,1,-1,0,0,6,0,4,-1,1,0,0
1060,1,44,1,0,1,0,0,1,-1,0,0,1,-1,1,-1,1,0,0
1061,1,46,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
1062,1,37,1,0,3,0,0,6,0,0,0,3,-1,5,0,6,0,0
1070,1,26,1,0,6,1,0,8,-52,0,0,6,0,6,0,8,0,0
1072,1,28,1,0,1,0,0,0,-1,0,0,1,-1,3,-1,0,0,0
1081,1,44,1,0,1,0,1,1,0,0,0,1,-1,1,-1,1,0,0
1084,1,45,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
1086,1,22,1,0,5,0,0,1,-1,0,0,5,0,7,0,1,0,0
1103,1,22,1,0,8,0,0,0,0,0,0,8,1,5,0,0,0,0
1111,1,48,1,0,6,0,0,2,0,0,0,6,0,1,-1,2,0,0
1120,1,24,1,0,8,0,0,0,0,0,0,8,1,7,0,0,0,0
1121,1,29,1,0,2,0,0,0,-1,0,0,2,-1,3,-1,0,0,0
1122,1,24,1,0,3,0,0,0,-3,0,0,3,-1,4,-1,0,0,0
1123,1,50,1,0,9,0,0,11,0,0,0,9,1,6,0,11,0,0
1127,1,23,1,0,2,0,0,0,0,0,0,2,-1,4,-1,0,0,0
1138,0,25,1,0,9,0,0,1,0,0,0,9,1,5,0,1,0,0
1140,1,71,1,0,1,0,0,8,-1,0,0,1,-1,2,-1,8,0,0
1141,1,39,1,0,9,4,0,10,-1,0,0,9,1,3,-1,10,0,0
1142,0,37,1,0,5,0,0,0,0,0,0,5,0,3,-1,0,0,0
1144,0,29,1,0,5,0,0,3,-1,0,0,5,0,4,-1,3,0,0
1156,0,23,1,0,2,0,0,0,-1,0,0,2,-1,3,-1,0,0,0
1159,0,53,1,0,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0
1160,0,23,1,0,7,0,0,0,-1,1,0,7,0,7,0,0,1,0
1163,1,25,1,0,6,0,0,6,-1,1,0,6,0,5,0,6,0,0
1167,1,26,1,0,3,0,0,2,-106,0,0,3,-1,4,-1,2,0,0
1169,1,29,1,0,4,0,0,1,-1,0,0,4,-1,3,-1,1,0,0
1172,1,31,1,0,2,0,0,0,-1,0,0,2,-1,1,-1,0,0,0
1179,1,37,1,0,2,0,0,4,-1,0,0,2,-1,1,-1,4,0,0
1181,0,35,1,0,5,0,0,4,-1,0,0,5,0,3,-1,4,0,0
1192,1,57,1,0,6,0,0,11,-1,0,0,6,0,5,0,11,0,0
1195,0,37,1,0,7,0,0,3,-1,0,0,7,0,4,-1,3,0,0
1205,1,63,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
1213,0,36,1,0,2,0,0,1,-1,0,0,2,-1,2,-1,1,0,0
1219,0,33,1,0,2,0,0,0,-1,0,0,2,-1,2,-1,0,0,0
1220,1,39,1,0,3,0,0,0,0,0,0,3,-1,2,-1,0,0,0
1229,1,35,1,0,6,0,0,7,-1,0,0,6,0,2,-1,7,0,0
1230,1,24,1,0,3,0,1,0,-1,0,0,3,-1,3,-1,0,0,0
1234,1,52,1,0,6,0,0,7,0,0,0,6,0,1,-1,7,0,0
1237,1,32,1,0,5,0,0,0,-1,0,0,5,0,2,-1,0,0,0
1240,1,29,1,0,10,1,0,16,-1,0,0,10,1,7,0,16,0,0
1247,0,23,1,0,3,0,0,1,-1,0,0,3,-1,3,-1,1,0,0
1254,1,43,1,1,8,0,0,20,0,0,0,8,1,4,-1,20,0,0
1261,1,34,1,0,2,0,0,4,-1,0,0,2,-1,2,-1,4,0,0
1269,1,29,1,0,4,0,0,2,-1,0,0,4,-1,5,0,2,0,0
1282,1,21,1,0,8,0,1,1,-1,0,0,8,1,7,0,1,0,0
1298,1,24,1,0,9,1,1,7,-1,0,0,9,1,7,0,7,0,0
1304,1,30,1,0,7,0,0,1,0,0,0,7,0,5,0,1,0,0
1305,1,36,1,0,8,0,0,9,0,0,0,8,1,2,-1,9,0,0
1315,1,24,1,0,4,0,0,0,-1,0,0,4,-1,5,0,0,0,0
1323,0,30,1,0,3,0,0,4,-5,0,0,3,-1,3,-1,4,0,0
1325,0,52,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
1326,1,23,1,1,9,0,1,3,-1,0,0,9,1,10,1,3,0,0
1328,0,26,1,0,2,0,0,1,-1,0,0,2,-1,2,-1,1,0,0
1334,1,28,1,0,3,0,0,1,-1,0,0,3,-1,2,-1,1,0,0
1342,1,32,1,0,7,0,0,1,-1,0,0,7,0,2,-1,1,0,0
1344,1,51,1,0,2,0,0,3,-1,0,0,2,-1,1,-1,3,0,0
1346,1,32,1,0,5,0,0,4,0,0,0,5,0,2,-1,4,0,0
1348,0,29,1,0,5,0,0,1,7,0,0,5,0,4,-1,1,0,0
1382,1,25,1,0,2,0,0,0,0,0,0,2,-1,4,-1,0,0,0
1397,1,63,1,0,9,0,0,3,-1,0,0,9,1,1,-1,3,0,0
1402,1,46,1,0,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0
1410,1,27,1,0,2,0,0,1,-3,0,0,2,-1,3,-1,1,0,0
1428,1,24,1,0,7,0,0,2,-1,0,0,7,0,5,0,2,0,0
1433,1,21,1,0,8,0,0,1,-1,0,0,8,1,7,0,1,0,0
1455,1,54,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
1474,0,20,1,0,4,0,0,0,-1,0,0,4,-1,6,0,0,0,0
1481,1,29,1,0,1,0,0,0,-1,0,0,1,-1,2,-1,0,0,0
1482,0,23,1,0,7,0,0,6,-18,0,0,7,0,5,0,6,0,0
1483,1,35,1,0,1,0,0,1,-1,0,0,1,-1,1,-1,1,0,0
1491,0,30,1,0,4,0,0,3,-1,0,0,4,-1,4,-1,3,0,0
1508,0,22,1,0,3,0,0,0,-2,0,0,3,-1,4,-1,0,0,0
1511,1,29,1,0,2,0,0,0,-1,0,0,2,-1,3,-1,0,0,0
1512,1,54,1,0,2,0,0,2,0,0,0,2,-1,3,-1,2,0,0
1515,1,51,1,0,4,0,0,17,0,0,0,4,-1,1,-1,17,0,0
1522,1,23,1,0,7,0,0,2,-1,0,0,7,0,6,0,2,0,0
1526,1,36,1,0,4,0,0,5,-1,0,0,4,-1,2,-1,5,0,0
1533,1,39,1,0,6,0,0,1,-9,0,0,6,0,1,-1,1,0,0
1534,1,29,1,0,6,0,0,2,-1,0,0,6,0,3,-1,2,0,0
1536,1,28,1,0,4,0,0,1,0,0,0,4,-1,6,0,1,0,0
1540,1,25,1,0,5,0,0,2,-1,0,0,5,0,6,0,2,0,0
1541,1,31,1,0,10,0,0,0,0,0,0,10,1,10,1,0,0,0
1545,1,33,1,0,5,0,0,1,0,0,0,5,0,4,-1,1,0,0
1557,0,54,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
1558,0,26,1,0,5,0,1,3,-305,0,0,5,0,5,0,3,0,0
1563,0,75,1,0,1,0,0,5,-1,0,0,1,-1,1,-1,5,0,0
1566,1,56,1,0,3,0,0,8,-106,0,0,3,-1,3,-1,8,0,0
1572,1,27,1,0,2,0,0,1,0,0,0,2,-1,5,0,1,0,0
1573,1,24,1,0,6,0,0,1,0,0,0,6,0,6,0,1,0,0
1577,1,59,1,0,1,0,0,2,0,0,0,1,-1,1,-1,2,0,0
1594,0,21,1,0,5,0,0,0,-1,0,0,5,0,6,0,0,0,0
1597,1,40,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
1602,1,32,1,0,2,0,0,2,-1,0,0,2,-1,2,-1,2,0,0
1606,0,31,1,0,8,0,0,0,-1,0,0,8,1,5,0,0,0,0
1611,1,47,1,0,3,0,0,4,0,0,0,3,-1,2,-1,4,0,0
1613,1,36,1,0,3,0,0,2,-2,1,0,3,-1,1,-1,2,0,0
1622,1,53,1,0,3,0,0,2,-1,0,0,3,-1,1,-1,2,0,0
1623,1,57,1,0,7,0,0,19,-1,0,0,7,0,4,-1,19,0,0
1627,0,24,1,0,3,0,0,1,279,1,0,3,-1,4,-1,1,0,0
1629,1,27,1,0,5,0,0,2,-1,0,0,5,0,4,-1,2,0,0
1637,1,34,1,0,1,0,0,1,-17,0,0,1,-1,1,-1,1,0,0
1657,1,32,1,0,1,0,0,0,0,0,0,1,-1,2,-1,0,0,0
1665,1,34,1,0,6,0,0,1,0,0,0,6,0,7,0,1,0,0
1668,1,37,1,2,9,0,0,18,-1,0,0,9,1,9,1,18,0,0
1672,0,20,1,0,8,0,0,0,0,0,0,8,1,7,0,0,0,0
1674,1,24,1,0,2,0,0,1,-59,0,0,2,-1,3,-1,1,0,0
1678,1,66,1,0,1,0,0,3,-36,0,0,1,-1,1,-1,3,0,0
1681,1,50,1,0,2,0,0,7,-1,0,0,2,-1,1,-1,7,0,0
1705,1,30,1,0,5,0,0,10,92,0,0,5,0,7,0,10,0,0
1707,1,24,1,0,2,0,0,0,0,0,0,2,-1,3,-1,0,0,0
1727,0,52,1,0,1,0,0,1,-28,0,0,1,-1,1,-1,1,0,0
1730,1,47,1,0,4,0,0,5,-1,0,0,4,-1,1,-1,5,0,0
1736,0,24,1,0,7,0,0,0,-1,0,0,7,0,5,0,0,0,0
1737,0,34,1,0,9,0,0,14,-1,0,0,9,1,8,1,14,0,0
1755,0,24,1,0,7,0,0,0,-1,0,0,7,0,5,0,0,0,0
1765,1,23,1,0,10,1,0,1,689,0,0,10,1,8,1,1,0,0
1768,1,56,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
1777,0,21,1,1,7,2,2,3,539,1,1,7,0,8,1,3,0,0
1780,0,35,1,0,5,0,0,2,-1,0,0,5,0,2,-1,2,0,0
1786,1,41,1,2,9,1,0,9,-1,1,0,9,1,5,0,9,1,0
1787,1,24,1,0,5,0,0,0,-1,0,0,5,0,7,0,0,0,0
1794,1,49,1,0,2,0,0,3,0,0,0,2,-1,1,-1,3,0,0
1800,1,50,1,0,5,0,0,4,-3,0,0,5,0,2,-1,4,0,0
1801,0,23,1,0,3,0,0,0,0,0,0,3,-1,3,-1,0,0,0
1804,1,35,1,0,4,0,0,1,0,0,0,4,-1,2,-1,1,0,0
1820,1,52,1,0,1,0,0,3,-1,0,0,1,-1,2,-1,3,0,0
1827,1,25,1,0,7,0,0,5,77,0,0,7,0,5,0,5,0,0
1832,0,29,1,0,10,0,0,2,64,0,0,10,1,10,1,2,0,0
1845,0,33,1,0,2,0,0,1,-2,0,0,2,-1,2,-1,1,0,0
1846,1,20,1,0,9,0,0,1,-83,0,0,9,1,8,1,1,0,0
1847,1,42,1,0,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0
1854,1,38,1,0,4,0,0,3,-1,0,0,4,-1,1,-1,3,0,0
1859,0,34,1,0,3,0,0,0,-1,1,1,3,-1,2,-1,0,1,0
1864,1,38,1,0,2,0,0,1,-1,0,0,2,-1,2,-1,1,0,0
1868,1,23,1,0,9,0,0,0,-1,0,0,9,1,8,1,0,0,0
1870,1,20,1,0,3,0,0,0,0,0,0,3,-1,6,0,0,0,0
1872,1,35,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
1879,1,22,1,0,9,0,0,0,-1,0,0,9,1,9,1,0,0,0
1886,1,60,1,0,3,0,0,12,-1,0,0,3,-1,1,-1,12,0,0
1888,1,33,1,0,5,0,0,6,-1,0,0,5,0,4,-1,6,0,0
1904,1,32,1,0,4,0,0,1,0,0,0,4,-1,3,-1,1,0,0
1913,1,21,1,0,4,0,0,0,-1,0,0,4,-1,6,0,0,0,0
1914,1,22,1,0,5,0,0,0,-1,0,0,5,0,7,0,0,0,0
1941,1,28,1,0,1,0,0,0,0,0,0,1,-1,2,-1,0,0,0
1945,1,28,1,0,2,0,0,0,0,0,0,2,-1,3,-1,0,0,0
1951,1,20,1,0,3,0,0,1,-24,0,0,3,-1,5,0,1,0,0
1952,1,21,1,0,6,0,0,0,-6,0,0,6,0,6,0,0,0,0
1967,0,39,1,0,2,0,0,1,-1,0,0,2,-1,1,-1,1,0,0
1971,1,44,1,0,5,0,0,2,-1,0,0,5,0,2,-1,2,0,0
1974,1,30,1,0,1,0,0,1,-1,0,0,1,-1,2,-1,1,0,0
1980,1,37,1,0,4,0,0,1,-139,0,0,4,-1,4,-1,1,0,0
1983,1,42,1,0,1,0,0,0,-1,0,0,1,-1,1,-1,0,0,0
1999,1,44,1,0,1,0,0,0,0,0,0,1,-1,1,-1,0,0,0
2010,1,27,1,0,3,0,0,0,-1,0,0,3,-1,3,-1,0,0,0
2029,1,43,1,0,3,0,0,2,-1,0,0,3,-1,1,-1,2,0,0
2033,0,63,1,0,4,0,0,1,0,0,0,4,-1,1,-1,1,0,0
2037,1,26,1,0,2,0,0,0,-1,0,0,2,-1,3,-1,0,0,0
2042,0,58,1,0,1,0,0,4,-1,0,0,1,-1,1,-1,4,0,0
2053,1,23,1,0,7,0,0,0,-1,0,0,7,0,6,0,0,0,0
2055,1,22,1,0,9,0,0,6,-1,0,0,9,1,9,1,6,0,0
2056,1,30,1,0,4,0,0,6,-1,0,0,4,-1,4,-1,6,0,0
2062,1,59,1,0,4,0,0,1,-1,0,0,4,-1,1,-1,1,0,0
2069,1,23,1,0,3,0,0,0,-1,0,0,3,-1,5,0,0,0,0
2070,1,32,1,0,8,0,0,2,0,0,0,8,1,5,0,2,0,0
2077,1,28,1,0,7,0,0,1,-1,0,0,7,0,3,-1,1,0,0
2079,1,35,1,0,2,0,0,3,-1,0,0,2,-1,2,-1,3,0,0
2089,1,29,1,0,1,0,0,0,0,0,0,1,-1,2,-1,0,0,0
2090,0,23,1,0,4,0,0,0,-1,0,0,4,-1,5,0,0,0,0
2091,1,62,1,0,9,0,0,15,-36,0,0,9,1,9,1,15,0,0
