loan_amnt,int_rate,emp_length,annual_inc,dti,delinq_2yrs,revol_util,total_acc,bad_loan,longest_credit_length,label,ownership_MORTGAGE,ownership_NONE,ownership_OTHER,ownership_OWN,ownership_RENT,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,gender
10000,12.12,2.0,118000.0,11.41,0.0,21.70000000000001,15.0,0,6.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5000,14.64,0.0,12921.6,13.75,0.0,98.0,16.0,0,12.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15000,15.1,3.0,50000.0,9.7,0.0,75.0,18.0,1,9.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12000,10.64,8.0,102000.0,15.96,0.0,70.8,17.0,0,23.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8000,7.1400000000000015,10.0,80400.0,2.25,0.0,7.4,27.0,0,30.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14475,17.86,3.0,101000.0,10.56,0.0,19.1,15.0,0,21.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12000,14.46,0.0,31000.0,18.39,0.0,18.1,24.0,1,10.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3000,5.99,0.0,80000.0,24.54,0.0,15.5,32.0,0,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24000,11.55,5.0,104000.0,7.48,0.0,53.8,13.0,0,6.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13000,16.2,10.0,70000.0,11.19,0.0,25.70000000000001,35.0,0,14.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5700,24.08,5.0,29700.0,20.08,0.0,44.2,15.0,0,15.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10000,12.23,1.0,45000.0,5.89,0.0,84.0,7.0,0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3000,12.61,6.0,230000.0,12.46,0.0,59.90000000000001,30.0,0,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,5.99,3.0,80000.0,2.69,0.0,17.6,23.0,0,14.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12000,8.9,1.0,70000.0,5.71,0.0,33.6,20.0,0,17.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10000,25.57,2.0,93000.0,27.34,1.0,71.7,33.0,1,33.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,9.67,7.0,79025.0,12.71,0.0,47.1,21.0,0,35.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8325,20.200000000000006,4.0,25000.0,33.56,0.0,62.0,11.0,0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2000,15.31,10.0,92000.0,11.52,0.0,78.0,19.0,0,14.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6900,11.49,5.0,34000.0,1.45,0.0,3.3000000000000003,11.0,0,9.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20000,16.990000000000002,4.0,50800.0,12.66,0.0,55.7,29.0,1,14.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35000,14.3,0.0,180000.0,19.95,0.0,42.8,45.0,0,38.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3600,6.49,0.0,25000.0,15.64,0.0,15.4,16.0,0,20.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,11.14,5.0,86652.8,16.65,2.0,64.10000000000001,20.0,0,22.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6000,13.98,4.0,30180.0,17.18,0.0,40.40000000000001,29.0,0,28.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9.71,10.0,80000.0,14.01,0.0,30.3,40.0,0,30.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35000,25.8,0.0,90000.0,11.83,2.0,33.800000000000004,23.0,0,16.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3600,23.4,6.0,70000.0,30.35,0.0,53.5,46.0,0,13.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15000,13.22,2.0,51996.0,1.96,0.0,29.200000000000006,6.0,0,4.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9000,6.03,0.0,27024.0,23.63,0.0,31.3,7.0,0,13.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19125,17.27,10.0,83000.0,16.51,0.0,93.5,28.0,0,13.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16000,17.27,3.0,55000.0,16.6,1.0,85.80000000000003,36.0,0,19.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6250,6.76,8.0,78000.0,5.91,1.0,7.5,24.0,0,11.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7000,18.92,10.0,38000.0,2.91,0.0,65.0,8.0,0,15.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14000,14.16,10.0,450000.0,1.74,0.0,45.40000000000001,33.0,0,18.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3450,14.16,9.0,52000.0,26.42,0.0,67.0,19.0,0,9.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5700,17.77,8.0,29000.0,19.94,0.0,60.7,9.0,1,6.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9800,14.33,10.0,64000.0,27.08,0.0,60.0,39.0,0,12.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18000,12.84,1.0,73500.0,7.69,0.0,78.7,8.0,0,9.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9700,14.65,0.0,26544.0,25.54,0.0,40.0,15.0,0,5.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25000,15.95,0.0,160000.0,13.2,0.0,90.4,34.0,0,11.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12000,9.99,2.0,92000.0,20.99,0.0,44.0,30.0,0,9.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20000,16.69,10.0,120000.0,20.16,0.0,67.7,39.0,0,20.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7500,7.88,2.0,20796.0,8.48,0.0,57.40000000000001,9.0,0,8.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20875,22.45,10.0,58000.0,13.24,0.0,61.7,22.0,0,12.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5800,11.14,8.0,37000.0,7.75,0.0,76.60000000000002,6.0,1,6.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8800,14.98,1.0,20000.0,8.4,0.0,68.8,20.0,1,14.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14125,13.98,10.0,35000.0,12.38,0.0,53.5,17.0,1,10.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24000,6.97,2.0,180000.0,2.65,0.0,8.5,29.0,0,29.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13250,14.98,2.0,100000.0,13.13,0.0,41.3,42.0,0,10.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9000,13.65,4.0,25000.0,18.77,0.0,80.7,29.0,1,11.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5500,7.9,2.0,63523.08,14.55,0.0,53.90000000000001,11.0,0,6.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12850,13.11,10.0,42000.0,10.8,0.0,71.60000000000002,11.0,0,29.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
25975,19.52,10.0,60000.0,24.12,0.0,86.60000000000002,23.0,1,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5000,9.63,9.0,66500.0,2.94,0.0,49.0,16.0,0,11.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8500,12.21,1.0,36156.0,9.23,0.0,12.1,6.0,0,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4700,15.1,10.0,52750.0,20.54,0.0,75.8,24.0,0,15.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,8.9,10.0,38000.0,13.8,0.0,45.2,12.0,0,19.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10600,8.9,10.0,105300.0,8.44,0.0,6.8000000000000025,41.0,0,18.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7000,12.35,10.0,75000.0,24.51,0.0,36.6,43.0,0,36.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,13.98,3.0,98000.0,16.11,0.0,0.0,9.0,0,10.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,12.22,2.0,36933.72,13.16,0.0,56.1,20.0,0,12.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17000,11.55,10.0,62000.0,26.42,0.0,56.90000000000001,29.0,0,17.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25000,12.99,10.0,104000.0,15.45,4.0,21.0,33.0,0,26.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,13.35,10.0,86000.0,12.11,0.0,46.6,34.0,0,16.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20000,13.11,10.0,90000.0,13.97,0.0,62.6,25.0,0,30.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19100,8.9,10.0,80000.0,16.94,0.0,73.2,24.0,0,30.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21000,15.22,1.0,135000.0,10.56,0.0,60.40000000000001,28.0,0,12.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9750,13.11,10.0,29000.0,15.1,0.0,82.5,8.0,0,9.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8400,13.49,0.0,38000.0,13.61,0.0,69.5,19.0,0,11.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12000,10.64,6.0,125000.0,8.86,0.0,71.60000000000002,13.0,0,13.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,10.2,10.0,30200.0,12.87,1.0,31.3,32.0,0,16.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14400,13.11,10.0,50000.0,26.09,0.0,83.30000000000003,24.0,1,14.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17575,15.61,10.0,100000.0,13.01,2.0,71.3,29.0,0,21.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12000,13.61,1.0,52000.0,10.32,0.0,45.6,20.0,0,6.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12000,17.57,2.0,53300.0,24.0,0.0,96.3,29.0,0,9.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12000,10.16,2.0,48000.0,17.75,0.0,56.2,24.0,1,11.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3000,7.9,3.0,75000.0,9.09,1.0,17.5,30.0,0,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2600,16.82,0.0,57000.0,12.02,0.0,92.4,13.0,0,9.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16000,16.29,10.0,65000.0,8.84,1.0,76.5,17.0,0,19.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12000,10.0,7.0,60000.0,12.32,0.0,69.5,21.0,0,14.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18000,11.67,0.0,40000.0,19.29,0.0,65.3,17.0,0,19.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21000,12.35,2.0,145000.0,0.8,0.0,20.3,9.0,0,3.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
19800,13.22,1.0,107000.0,17.05,0.0,67.3,35.0,1,11.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21000,10.64,2.0,75000.0,26.57,0.0,78.2,28.0,0,27.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,25.57,3.0,65000.0,24.68,0.0,75.7,30.0,0,10.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12000,12.12,5.0,50000.0,21.96,0.0,68.3,27.0,0,14.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8500,15.88,3.0,25000.0,9.81,0.0,24.70000000000001,13.0,0,10.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5500,15.22,1.0,20000.0,2.88,0.0,7.4,5.0,0,26.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9050,7.29,6.0,62130.0,15.26,0.0,59.40000000000001,26.0,0,7.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12000,12.99,9.0,60000.0,16.5,0.0,31.8,6.0,0,21.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10400,15.61,9.0,70000.0,15.02,0.0,81.0,19.0,1,15.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3500,21.6,2.0,22000.0,23.87,0.0,29.70000000000001,11.0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35000,18.99,8.0,168000.0,15.96,0.0,32.2,18.0,0,17.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12000,11.99,10.0,56401.0,28.49,0.0,70.9,33.0,0,21.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20000,9.88,1.0,70000.0,14.45,0.0,21.200000000000006,24.0,0,12.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1400,17.27,6.0,22374.0,6.11,0.0,79.0,5.0,1,16.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3200,14.33,2.0,53000.0,9.6,0.0,87.5,13.0,0,8.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26500,14.33,10.0,60000.0,21.15,0.0,66.7,23.0,0,18.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18550,19.52,7.0,47460.0,26.9,2.0,52.1,17.0,0,19.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,10.62,0.0,48000.0,23.5,0.0,62.40000000000001,23.0,0,17.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17000,11.14,0.0,85200.0,14.61,0.0,52.3,31.0,0,16.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7750,14.22,8.0,104000.0,21.35,1.0,67.3,42.0,1,28.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9750,13.68,0.0,27950.0,28.42,0.0,67.8,28.0,1,28.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35000,23.28,6.0,120000.0,21.47,0.0,44.7,57.0,0,16.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8000,14.64,3.0,50000.0,18.46,0.0,50.7,16.0,1,10.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5375,14.09,2.0,32000.0,9.71,0.0,56.90000000000001,13.0,0,9.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8400,13.35,8.0,91000.0,21.02,4.0,47.8,18.0,0,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12000,6.03,3.0,77500.0,19.08,0.0,4.9,60.0,0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15000,13.11,0.0,45000.0,13.79,0.0,66.4,28.0,1,19.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14400,11.99,5.0,124896.0,13.48,0.0,62.8,41.0,0,18.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14600,22.47,10.0,38000.0,19.14,1.0,42.3,11.0,1,8.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14000,11.55,9.0,45000.0,19.57,0.0,38.2,18.0,0,11.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13575,18.25,6.0,72000.0,13.35,0.0,73.5,24.0,0,14.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10750,12.12,7.0,52000.0,19.06,0.0,40.40000000000001,19.0,0,8.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35000,10.99,10.0,48712.44,6.08,0.0,36.5,16.0,0,28.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35000,14.27,4.0,150000.0,11.26,0.0,32.5,37.0,1,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16000,12.73,3.0,105000.0,7.82,1.0,37.3,24.0,0,17.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,14.3,4.0,44000.0,13.85,0.0,72.3,15.0,0,6.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6200,9.91,2.0,25000.0,20.64,0.0,47.7,12.0,1,13.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,14.64,7.0,90000.0,10.84,0.0,50.0,26.0,0,17.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4000,10.37,6.0,62500.0,20.54,0.0,90.6,17.0,0,13.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8000,19.05,10.0,60000.0,16.080000000000002,0.0,43.8,35.0,1,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2400,16.29,10.0,87500.0,15.35,0.0,51.7,46.0,0,23.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25000,9.67,6.0,150000.0,28.12,0.0,62.3,63.0,0,31.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,11.66,4.0,30000.0,15.44,0.0,75.3,17.0,0,6.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2200,12.68,9.0,65000.0,13.72,1.0,24.63,12.0,1,10.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12000,10.16,7.0,63000.0,20.9,0.0,43.7,25.0,0,7.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10800,12.42,7.0,58000.0,23.56,0.0,25.5,29.0,0,17.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5300,17.27,0.0,23000.0,11.48,0.0,61.90000000000001,10.0,0,8.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18000,9.71,8.0,137400.0,6.93,0.0,34.0,63.0,0,18.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2700,10.74,4.0,32000.0,20.78,0.0,0.0,7.0,0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8500,9.67,1.0,45000.0,22.24,0.0,32.5,18.0,0,12.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7400,6.03,10.0,45000.0,19.17,0.0,22.9,22.0,0,26.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,15.61,4.0,95678.0,16.64,0.0,79.5,56.0,0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2125,17.27,5.0,34000.0,24.6,0.0,80.4,16.0,1,10.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21000,19.47,2.0,132000.0,17.12,0.0,55.90000000000001,23.0,1,11.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9000,13.05,10.0,92000.0,11.17,2.0,91.1,22.0,0,18.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
