index,gender,num_of_prev_attempts,studied_credits,disability,A Level or Equivalent,HE Qualification,Lower Than A Level,No Formal quals,Post Graduate Qualification,0-10%,20-Oct,20-30%,30-40%,40-50%,50-60%,60-70%,70-80%,80-90%,90-100%,0-35,35-55,55<=,label
165,1,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
166,1,0,180,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
167,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
168,1,0,120,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
169,0,0,120,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
170,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
171,1,0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
172,1,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
173,1,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
174,0,0,120,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
175,1,0,60,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
176,1,0,60,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
177,0,0,120,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
178,1,0,120,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
179,1,0,180,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
181,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
182,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
183,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
185,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
186,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
187,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
188,1,0,90,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
189,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
190,0,0,120,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
191,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
192,1,0,180,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
193,1,0,240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
194,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
195,1,0,60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
196,1,0,120,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
197,1,0,120,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
198,1,0,240,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
199,1,0,120,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
200,1,0,90,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
201,1,0,60,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
202,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
203,0,0,150,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
204,1,0,120,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
205,1,0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
206,1,0,60,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
207,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
208,0,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
209,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
210,1,0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
211,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
212,1,0,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
213,1,0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
214,1,0,120,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
215,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
216,1,0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
217,0,0,60,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
218,1,0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
219,1,0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
220,1,0,120,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
221,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
222,1,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
224,1,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
225,1,0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
226,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
227,0,0,120,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
228,1,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
229,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
230,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
231,0,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
232,1,0,60,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
233,0,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
234,1,0,180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
235,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
236,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
237,0,0,60,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
238,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
239,1,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
240,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
241,0,0,60,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
242,0,0,120,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
243,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
244,1,0,120,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
245,0,0,60,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
246,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
247,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
248,1,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
249,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
250,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
251,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
252,0,0,60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
253,0,0,60,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
254,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
255,1,0,75,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
256,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
257,1,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
259,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
260,1,0,60,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
261,1,0,300,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
262,1,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
263,0,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
264,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
265,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
266,0,0,120,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
267,1,0,60,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
268,1,0,120,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
269,0,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
270,1,0,60,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
271,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
272,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
273,1,0,330,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
274,0,0,60,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
275,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
276,0,0,120,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
277,0,0,60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
278,1,0,60,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
279,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
280,1,0,120,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
281,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
282,1,0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
283,1,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
284,0,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
285,0,0,60,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
286,0,0,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
287,0,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
288,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
289,0,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
290,0,0,60,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
291,1,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
292,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
293,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
294,0,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
295,1,0,60,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
296,1,0,150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
297,0,0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
